prompt_injection_risk,data_exposure_risk,model_access_level,guardrail_strength,external_tool_access,likelihood,business_impact
2,1,5,4,0,3,Low
2,9,2,10,1,1,Low
1,2,4,4,0,9,Low
4,9,7,4,1,10,High
5,1,3,7,1,5,Low
3,4,6,2,0,7,Medium
2,6,6,10,1,1,Low
8,9,2,7,0,9,High
5,10,6,10,0,2,Medium
1,4,5,2,0,2,Low
7,5,8,6,0,6,Medium
6,4,5,2,0,9,High
4,3,8,7,1,9,Medium
4,6,1,4,0,6,Medium
7,5,2,4,1,4,Medium
8,7,8,3,1,3,High
4,9,9,5,1,10,High
7,6,4,3,1,2,High
1,2,3,3,1,10,Medium
2,7,7,10,1,9,Medium
5,9,1,2,1,6,High
2,5,7,3,1,1,Medium
5,9,3,9,0,5,Medium
9,10,4,3,1,3,High
9,9,1,10,1,8,High
1,2,6,5,0,1,Low
4,10,2,2,1,2,High
9,3,3,8,0,5,Medium
9,10,7,4,0,5,High
7,6,8,9,1,2,Medium
4,4,2,6,0,10,Medium
9,4,10,4,0,2,High
1,4,2,1,1,2,Medium
9,4,5,8,0,9,Medium
3,10,10,8,0,8,High
7,4,2,2,1,6,High
7,7,8,1,0,1,High
7,6,2,4,0,4,Medium
9,8,3,7,0,5,High
8,4,2,8,0,1,Low
9,1,2,4,0,7,Medium
8,8,4,7,0,3,Medium
7,1,7,5,1,5,Medium
7,9,8,3,0,5,High
4,1,10,9,0,6,Low
1,1,10,8,0,1,Low
9,2,3,2,0,4,Medium
7,2,10,4,0,10,High
2,7,10,10,1,5,Medium
4,6,4,5,1,3,Medium
5,8,6,2,0,8,High
10,10,2,2,0,9,High
5,3,6,2,0,6,Medium
5,3,8,9,1,10,Medium
9,1,9,5,0,3,Medium
5,2,2,9,0,5,Low
5,10,4,6,0,5,Medium
9,8,5,1,0,7,High
5,1,1,6,0,5,Low
3,8,9,7,0,2,Medium
2,3,9,1,1,10,High
9,3,7,3,0,5,High
6,1,6,4,0,2,Low
6,9,7,10,0,4,Medium
3,3,7,1,0,6,Medium
7,4,5,3,0,7,High
1,8,4,4,1,6,Medium
5,4,4,1,0,7,Medium
6,5,2,5,1,9,Medium
7,9,6,1,0,5,High
3,10,5,1,0,10,High
7,6,6,7,0,7,Medium
10,4,5,1,1,1,High
9,9,4,6,1,2,High
6,10,6,2,1,9,High
5,7,6,7,1,9,High
3,4,7,7,0,10,Medium
10,5,7,9,0,5,Medium
5,4,7,10,1,8,Medium
8,8,4,9,1,3,Medium
2,5,9,10,1,2,Low
4,5,4,4,0,1,Low
1,4,8,10,0,8,Low
7,10,4,7,1,7,High
4,3,1,2,1,4,Medium
3,9,8,1,0,2,High
8,3,8,9,1,8,Medium
10,9,7,9,1,3,High
8,8,5,4,1,9,High
8,4,5,8,0,5,Medium
4,5,6,6,0,3,Low
3,4,7,3,0,2,Medium
7,7,6,9,1,7,Medium
1,4,7,7,0,10,Low
7,8,1,6,1,7,High
7,9,9,10,0,8,High
4,5,7,8,0,7,Medium
6,7,3,8,0,10,Medium
9,1,7,10,0,2,Low
7,3,8,3,0,5,Medium
7,6,4,8,1,6,Medium
7,5,7,5,0,8,High
1,9,1,6,0,2,Low
1,1,4,4,0,10,Low
3,4,3,8,0,10,Low
4,8,5,6,0,10,Medium
10,2,3,5,0,10,Medium
1,5,10,7,1,4,Medium
2,10,4,2,1,10,High
2,10,1,6,1,6,Medium
2,9,6,1,1,8,High
2,7,6,8,0,7,Low
3,9,5,10,1,8,Medium
7,10,5,6,0,2,High
5,8,4,8,1,6,Medium
1,8,6,3,1,4,Medium
6,5,6,5,1,9,High
1,9,4,2,0,7,Medium
8,9,4,8,1,8,High
1,2,5,4,1,4,Low
5,10,6,8,1,7,High
9,6,6,8,1,5,High
5,4,2,4,1,2,Medium
9,3,4,4,1,5,High
10,9,10,5,0,4,High
5,4,6,3,1,1,Medium
9,3,5,1,0,9,High
5,3,8,2,0,10,High
5,8,8,8,1,3,Medium
1,5,8,2,0,7,Medium
8,2,10,1,0,3,High
10,5,2,4,0,9,High
7,10,10,10,0,9,High
7,8,8,5,1,5,High
10,10,1,10,0,4,Medium
4,5,2,3,0,3,Medium
9,2,3,1,1,8,High
10,8,5,1,0,5,High
5,8,2,4,1,10,High
4,7,2,9,0,3,Low
5,3,2,1,0,5,Medium
10,10,5,8,0,8,High
5,7,5,9,1,8,Medium
2,10,1,7,1,10,Medium
5,1,2,4,0,5,Low
10,1,3,8,1,5,Medium
3,10,7,8,0,8,Medium
6,7,6,6,0,3,Medium
6,7,8,5,1,9,High
1,8,2,6,1,6,Medium
2,7,9,1,1,7,High
1,4,9,6,1,8,Medium
1,4,5,9,0,5,Low
8,8,2,1,0,3,High
5,9,1,9,1,2,Medium
4,2,8,2,0,8,Medium
5,9,5,7,1,8,High
4,8,9,3,1,4,High
10,9,3,2,1,7,High
